Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3
947,267,697,910,351,1127,1547,605,594,345,1419
947,228,736,901,357,1119,1558,605,592,567,1417
940,486,739,816,441,1106,1538,639,650,653,1417
919,507,700,692,604,1050,1549,684,685,658,1311
1062,507,700,689,607,1049,1473,761,684,658,1261
1073,533,725,652,644,974,1367,942,661,658,1204
1164,533,725,652,644,919,1388,771,711,658,1278
1100,632,725,652,641,886,1416,740,757,658,1250
1129,632,725,652,641,802,1408,806,702,746,1235
1129,626,731,652,628,798,1425,788,702,746,1220
1151,627,735,652,621,706,1467,845,543,824,1237
1151,627,735,651,622,692,1437,797,879,841,1290
1151,627,735,651,622,691,1438,671,879,836,1175
1151,693,735,651,601,709,1438,628,874,810,1213
1151,693,735,632,620,709,1437,629,874,805,1267
1158,693,735,625,627,709,1427,639,869,846,1230
1160,693,732,628,562,774,1424,642,882,848,1122
1160,693,552,782,517,845,1262,802,889,848,1173
1160,693,475,820,556,845,1107,955,889,876,1266
1160,693,471,824,556,840,1112,955,889,876,1383
1160,693,471,824,556,833,1119,955,889,869,1425
1088,765,471,804,570,815,1143,955,905,1109,1448
958,866,500,797,574,645,1316,955,893,1100,1409
953,871,373,790,708,634,1323,959,892,1063,1376
931,893,311,807,708,602,1214,1143,881,1044,1399
852,972,289,784,749,549,1217,1155,888,977,1401
724,1100,228,816,778,549,1180,1187,888,906,1398
716,1106,198,821,804,519,1209,1189,888,906,1374
716,1096,190,645,982,535,1049,1349,888,1077,1320
716,1008,275,628,935,468,1079,1453,888,1153,1495
716,947,276,688,931,417,1040,1547,888,1138,1529
716,947,267,697,910,351,1127,1547,888,1138,1589
716,947,228,736,901,357,1119,1558,898,916,1618
462,940,486,739,816,441,1106,1538,892,870,1618
462,919,507,700,692,604,1050,1549,896,895,1713
319,1062,507,700,689,607,1049,1473,933,895,1689
340,1073,533,725,652,644,974,1367,888,900,1656
378,1164,533,725,652,644,919,1388,694,967,1583
344,1100,632,725,652,641,886,1416,655,971,1591
315,1129,632,725,652,641,802,1408,750,883,1593
319,1129,626,731,652,628,798,1425,750,883,1588
299,1151,627,735,652,621,706,1467,750,805,1560
304,1151,627,735,651,622,692,1437,366,808,1472
304,1151,627,735,651,622,691,1438,471,765,1428
238,1151,693,735,651,601,709,1438,490,766,1304
238,1151,693,735,632,620,709,1437,508,832,1307
231,1158,693,735,625,627,709,1427,511,820,1382
267,1160,693,732,628,562,774,1424,498,821,1417
272,1160,693,552,782,517,845,1262,508,821,1369
276,1160,693,475,820,556,845,1107,705,793,1313
