Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
553,1022,1108,791,595,689,884,568,169
552,1024,1108,829,651,689,880,568,239
598,1024,1137,796,873,689,880,568,333
616,1024,1137,936,1187,689,874,568,416
616,1024,1147,944,1353,689,874,494,310
616,1024,1147,929,1417,689,876,493,320
529,1123,1133,867,1445,689,884,500,377
530,1123,1138,854,1765,689,744,414,387
530,1123,941,823,1795,689,816,457,452
495,1158,1098,748,1853,689,816,457,580
519,1143,952,618,2031,689,831,457,637
444,1203,1081,613,2130,689,398,469,637
275,1372,1073,720,2088,689,402,468,637
228,1419,1128,696,2086,689,403,296,624
227,1309,1134,636,2089,718,502,280,617
225,1241,1205,663,2089,822,569,243,617
247,1272,1292,667,2008,1028,637,241,622
356,1114,1391,667,2008,849,671,239,681
502,1096,1271,636,2038,779,706,251,681
505,1069,1161,657,2069,899,706,251,716
505,1039,1055,677,2017,844,713,251,790
504,1034,1050,691,1971,750,967,251,790
