Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
888,85,854,457,1065,758,864,870,653,715,1200,706,258,429
1042,84,743,569,1065,713,879,895,658,598,1199,704,270,479
1063,84,694,618,1065,713,879,895,658,579,1145,801,229,518
1083,84,644,668,1065,713,874,900,658,579,1126,914,239,593
1086,84,636,674,1052,707,828,967,658,532,1126,930,239,726
1077,88,641,674,649,1057,877,971,658,532,1122,1066,240,745
1080,88,641,674,420,1283,880,883,746,521,1108,1066,431,746
1148,88,637,670,428,1283,880,883,746,515,1022,1066,444,746
1139,81,637,634,491,1275,888,805,824,453,902,988,339,666
951,263,643,634,491,1274,869,808,841,360,873,830,427,605
848,365,642,640,491,1268,865,765,836,392,866,775,433,609
837,356,661,642,491,1268,864,766,810,418,884,720,417,526
837,354,657,648,491,1227,839,832,805,423,830,732,446,558
835,381,630,657,510,1209,812,820,846,437,775,732,446,558
485,750,567,720,510,1209,809,821,848,379,775,777,446,555
485,750,557,729,511,1096,922,821,848,378,763,880,446,555
485,750,541,737,515,1100,922,793,876,331,776,999,442,555
485,750,541,737,515,1081,941,793,876,331,835,1016,441,568
489,750,541,737,515,1079,943,793,869,326,835,1042,464,568
489,750,541,573,679,1079,871,622,1109,321,914,1206,486,567
